Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_136363969,4 Beds,4 Baths,,"('1,765 Sqft', ' sqft')",Residential,"1,556,507 ",Mexico
l_158013923,3 Beds,2 Baths,,"('1,366 Sqft', ' sqft')",Residential,"735,000 ",Mexico
l_143888903,2 Beds,2 Baths,,"('1,679.17 Sqft', ' sqft')",Residential,"276,000 ",Mexico
l_154131779,,,,"('34,240 Sqft', ' sqft')",Lots and Land,"549,000 ",Mexico
l_139473323,2 Beds,2 Baths,,"('1,138.8 Sqft', ' sqft')",Residential,"467,884.467337 ",Mexico
l_158467174,1 Bed,1 Bath,,"('832.7 Sqft', ' sqft')",Residential,"176,500 ",Mexico
l_154083600,3 Beds,3 Baths,,"('3,229 Sqft', ' sqft')",Residential,"565,000 ",Mexico
l_153507671,3 Beds,4 Baths,,"('1,355 Sqft', ' sqft')",Residential,"649,900 ",Mexico
l_145419244,3 Beds,3 Baths,,"('2,303.48 Sqft', ' sqft')",Residential,"860,853 ",Mexico
l_146000513,5 Beds,3 Baths,,"('6,512.17 Sqft', ' sqft')",Residential,"2,850,000  500",Mexico
l_154308930,3 Beds,3 Baths,0.23 ac Lot Size,"('1,700 Sqft', ' sqft')",Residential,"239,000 ",Mexico
l_154259679,1 Bed,1 Bath,,"('621.72 Sqft', ' sqft')",Residential,"180,135.519925 ",Mexico
l_156176373,3 Beds,2 Baths,,"('1,506 Sqft', ' sqft')",Condominium,"399,000 ",Mexico
l_153921899,2 Beds,2 Baths,,"('1,270.14 Sqft', ' sqft')",Residential,"336,798 ",Mexico
l_158082537,5 Beds,4 Baths,,"('4,195 Sqft', ' sqft')",Residential,"3,375,000 ",Mexico
l_148535456,2 Beds,2 Baths,,"('1,334.72 Sqft', ' sqft')",Condominium,"370,526 ",Mexico
l_158300359,4 Beds,3 Baths,,"('3,971.88 Sqft', ' sqft')",Condominium,"1,823,549.718851 ",Mexico
l_157163869,4 Beds,4 Baths,0.064 ac Lot Size,"('3,401.4 Sqft', ' sqft')",Residential,"1,600,000 ",Mexico
l_144829769,3 Beds,2 Baths,,"('2,698.51 Sqft', ' sqft')",Residential,"414,977.531415 ",Mexico
l_152751155,2 Beds,2 Baths,,"('1,399.31 Sqft', ' sqft')",Residential,"290,000 ",Mexico
l_141156374,2 Beds,2 Baths,,"('1,431.6 Sqft', ' sqft')",Condominium,"610,000 ",Mexico
l_160308033,3 Beds,3 Baths,,"('6,856.67 Sqft', ' sqft')",Residential,"998,000 ",Mexico
l_122738934,2 Beds,2 Baths,,"('1,505.7 Sqft', ' sqft')",Residential,"329,000 ",Mexico
l_157861161,2 Beds,2 Baths,0.029 ac Lot Size,"('1,044.1 Sqft', ' sqft')",Condominium,"710,583 ",Mexico
l_160969509,3 Beds,2 Baths,,"('986.73 Sqft', ' sqft')",Residential,"187,500 ",Mexico
l_118686914,2 Beds,2 Baths,,"('993.95 Sqft', ' sqft')",Residential,"263,940 ",Mexico
l_144563151,2 Beds,2 Baths,,"('2,068.82 Sqft', ' sqft')",Residential,"618,646 ",Mexico
l_158117620,2 Beds,2 Baths,,"('1,008.4 Sqft', ' sqft')",Residential,"349,000 ",Mexico
l_156970911,3 Beds,3 Baths,,"('2,793 Sqft', ' sqft')",Residential,"814,000 ",Mexico
l_157282206,3 Beds,2 Baths,0.137 ac Lot Size,"('2,800 Sqft', ' sqft')",Residential,"289,000 ",Mexico
l_154308945,3 Beds,2 Baths,,"('2,195.84 Sqft', ' sqft')",Residential,"284,929.643571 ",Mexico
l_139795910,2 Beds,2 Baths,,"('1,208 Sqft', ' sqft')",Residential,"310,000 ",Mexico
l_155346416,2 Beds,2 Baths,,"('1,334 Sqft', ' sqft')",Condominium,"219,000 ",Mexico
l_154958369,3 Beds,3 Baths,0.04 ac Lot Size,"('2,421.88 Sqft', ' sqft')",Residential,"491,878.542585 ",Mexico
l_157438474,,,,,Residential,"812,767.912905 ",Mexico
l_160253396,1 Bed,1 Bath,,"('442.4 Sqft', ' sqft')",Condominium,"75,294 ",Mexico
l_156110663,,,,,Condominium,"330,000 ",Mexico
l_157717977,3 Beds,3 Baths,0.494 ac Lot Size,"('3,229.17 Sqft', ' sqft')",Residential,"2,850,000 ",Mexico
l_143525909,,,,,Condominium,"330,000  39",Mexico
l_153853255,1 Bed,1 Bath,,"('957.99 Sqft', ' sqft')",Residential,"425,000 ",Mexico
l_160653733,6 Beds,8 Baths,,"('6,354 Sqft', ' sqft')",Residential,"2,500,000 ",Mexico
l_146707558,1 Bed,1 Bath,,"('553.27 Sqft', ' sqft')",Condominium,"237,292  3.9",Mexico
l_153612575,1 Bed,2 Baths,,"('536.37 Sqft', ' sqft')",Condominium,"232,217.43 ",Mexico
