Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_146460315,,,2.6 ac Lot Size,,Residential,"197,400 ",Puerto Rico,point2homes
l_140043106,,,0.799 ac Lot Size,,Lots and Land,"275,000  35",Puerto Rico,point2homes
l_160451136,3 Beds,2 Baths,0.01 ac Lot Size,"('1,566 Sqft', ' sqft')",Residential,"150,000 ",Puerto Rico,point2homes
l_143543771,,,0.051 ac Lot Size,,Lots And Land,"159,000 ",Puerto Rico,point2homes
l_131792278,4 Beds,2 Baths,,,Residential,"600,000 ",Puerto Rico,point2homes
l_21055072,,,,,Multifamily,"290,000 ",Puerto Rico,point2homes
l_158647811,,,12.24 ac Lot Size,,Lots And Land,"9,000,000 ",Puerto Rico,point2homes
l_154693291,,,0.045 ac Lot Size,,Lots And Land,"59,000 ",Puerto Rico,point2homes
l_160499861,,,5 ac Lot Size,,Lots and Land,"295,000 ",Puerto Rico,point2homes
l_147731247,3 Beds,2 Baths,,"('1,500 Sqft', ' sqft')",Condominium,"345,900 ",Puerto Rico,point2homes
l_33343723,,,,"('31,398.33 Sqft', ' sqft')",Lots And Land,"150,000 ",Puerto Rico,point2homes
l_160651628,4 Beds,2 Baths,,"('2,688 Sqft', ' sqft')",Residential,"649,000 ",Puerto Rico,point2homes
l_157731527,4 Beds,3 Baths,,"('1,812 Sqft', ' sqft')",Residential,"517,000 ",Puerto Rico,point2homes
l_156109220,,,0.236 ac Lot Size,,Lots and Land,"139,000 ",Puerto Rico,point2homes
l_159911077,4 Beds,2 Baths,0.139 ac Lot Size,"('2,703 Sqft', ' sqft')",Residential,"394,777 ",Puerto Rico,point2homes
l_146002953,,,51.8 ac Lot Size,,Lots and Land,"4,400,000 ",Puerto Rico,point2homes
l_160096023,,,0.092 ac Lot Size,,Lots And Land,"249,000 ",Puerto Rico,point2homes
l_151228991,,,0.097 ac Lot Size,"('4,219.45 Sqft', ' sqft')",Residential,"749,000 ",Puerto Rico,point2homes
l_153505364,2 Beds,2 Baths,,"('1,407 Sqft', ' sqft')",Condominium,"650,000 ",Puerto Rico,point2homes
l_146165390,1 Bed,,,"('3,200 Sqft', ' sqft')",Other,"320,000 ",Puerto Rico,point2homes
l_161408255,2 Beds,1 Bath,,,Residential,"68,100 ",Puerto Rico,point2homes
l_156616207,5 Beds,5 Baths,0.018 ac Lot Size,"('4,138 Sqft', ' sqft')",Residential,"248,700 ",Puerto Rico,point2homes
l_160307034,5 Beds,3 Baths,,"('2,800 Sqft', ' sqft')",Residential,"161,000 ",Puerto Rico,point2homes
l_157721096,3 Beds,2 Baths,,"('895 Sqft', ' sqft')",Residential,"106,900 ",Puerto Rico,point2homes
l_124830131,,,,,Lots And Land,"2,825,000 ",Puerto Rico,point2homes
l_159096506,3 Beds,2 Baths,,"('1,300 Sqft', ' sqft')",Residential,"389,000 ",Puerto Rico,point2homes
l_142478753,6 Beds,4 Baths,,"('5,466 Sqft', ' sqft')",Residential,"2,995,000 ",Puerto Rico,point2homes
l_152825548,3 Beds,1 Bath,0.297 ac Lot Size,,Residential,"200,000  45",Puerto Rico,point2homes
l_155791399,,,,"('2,500 Sqft', ' sqft')",Multifamily,"1,500,000 ",Puerto Rico,point2homes
l_151748229,1 Bed,1 Bath,,"('607 Sqft', ' sqft')",Residential,"170,000 ",Puerto Rico,point2homes
l_157549328,2 Beds,1 Bath,,,Other,"199,900 ",Puerto Rico,point2homes
l_152819628,4 Beds,3 Baths,0.665 ac Lot Size,,Multifamily,"385,000 ",Puerto Rico,point2homes
l_142127036,3 Beds,2 Baths,,,Condominium,"475,000 ",Puerto Rico,point2homes
l_141991832,,,44 ac Lot Size,,Lots And Land,"525,000 ",Puerto Rico,point2homes
l_155031901,3 Beds,3 Baths,,,Residential,"211,000 ",Puerto Rico,point2homes
