Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_150294625,,,,,Lots And Land,"60,500 ",Honduras
l_157286322,2 Beds,2 Baths,,"('1,485 Sqft', ' sqft')",Residential,"349,000 ",Honduras
l_153391023,2 Beds,2 Baths,,"('950 Sqft', ' sqft')",Residential,"185,000 ",Honduras
l_154353210,2 Beds,2 Baths,,"('1,200 Sqft', ' sqft')",Residential,"715,000 ",Honduras
l_153802415,,,,,Lots and Land,"150,000 ",Honduras
l_145493091,5 Beds,3 Baths,,"('7,500 Sqft', ' sqft')",Residential,"2,950,000 ",Honduras
l_158166619,3 Beds,3 Baths,0.494 ac Lot Size,,Residential,"525,000 ",Honduras
l_144397773,,,,,Residential,"199,000  36",Honduras
l_150822890,,,0.18 ac Lot Size,,Lots And Land,"45,000 ",Honduras
l_150703967,,,0.18 ac Lot Size,,Lots And Land,"49,000 ",Honduras
l_150294601,,,,,Lots And Land,"44,000 ",Honduras
l_153391029,2 Beds,1 Bath,,"('850 Sqft', ' sqft')",Residential,"190,000 ",Honduras
l_157286766,3 Beds,4 Baths,0.198 ac Lot Size,"('2,626 Sqft', ' sqft')",Residential,"382,000 ",Honduras
l_153391031,2 Beds,2 Baths,,"('950 Sqft', ' sqft')",Residential,"210,000 ",Honduras
l_157293757,3 Beds,2 Baths,,"('800 Sqft', ' sqft')",Residential,"199,000 ",Honduras
l_160507226,2 Beds,2 Baths,0.041 ac Lot Size,,Residential,"69,400 ",Honduras
l_153391014,2 Beds,2 Baths,,"('950 Sqft', ' sqft')",Residential,"185,000 ",Honduras
l_157555200,6 Beds,6 Baths,0.15 ac Lot Size,,Other,"2,700,000 ",Honduras
l_107461769,,,,,Residential,"220,000 ",Honduras
l_158466242,5 Beds,3 Baths,0.66 ac Lot Size,"('5,025 Sqft', ' sqft')",Residential,"1,490,000 ",Honduras
l_160507229,4 Beds,4 Baths,0.053 ac Lot Size,,Other,"250,000 ",Honduras
l_160507190,3 Beds,1 Bath,1.941 ac Lot Size,,Residential,"406,504 ",Honduras
l_134701461,5 Beds,3 Baths,,,Residential,"440,000 ",Honduras
l_160507187,24 Beds,24 Baths,0.322 ac Lot Size,,Other,"1,462,820 ",Honduras
l_156066759,3 Beds,4 Baths,,"('3,200 Sqft', ' sqft')",Residential,"579,000 ",Honduras
l_151369584,,,0.72 ac Lot Size,,Lots And Land,"198,000 ",Honduras
l_160507232,4 Beds,4 Baths,0.053 ac Lot Size,,Other,"300,000 ",Honduras
l_150294582,,,,,Lots And Land,"28,000 ",Honduras
l_145354281,,,,,Residential,"100,000 ",Honduras
l_158033373,2 Beds,2 Baths,0.277 ac Lot Size,,Residential,"435,000 ",Honduras
l_140331063,,,0.14 ac Lot Size,,Lots And Land,"325,000 ",Honduras
