Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_147037966,3 Beds,3 Baths,,"('2,169 Sqft', ' sqft')",Residential,"469,000 ",Costa Rica
l_158163590,2 Beds,2 Baths,,"('2,379 Sqft', ' sqft')",Residential,0.000000 ,Costa Rica
l_152975991,3 Beds,2 Baths,0.235 ac Lot Size,"('2,400 Sqft', ' sqft')",Residential,"710,000 ",Costa Rica
l_158286521,,,0.614 ac Lot Size,"('26,737.55 Sqft', ' sqft')",Lots And Land,"199,000 ",Costa Rica
l_158719041,2 Beds,2 Baths,,"('807.29 Sqft', ' sqft')",Condominium,"220,000 ",Costa Rica
l_154209640,,,,"('745.27 Sqft', ' sqft')",Lots and Land,"1,100,000 ",Costa Rica
l_155692249,4 Beds,4 Baths,,"('2,088.2 Sqft', ' sqft')",Residential,"859,000 ",Costa Rica
l_158287517,4 Beds,4 Baths,0.133 ac Lot Size,,Residential,"799,000 ",Costa Rica
l_160617313,5 Beds,4 Baths,,"('6,000 Sqft', ' sqft')",Residential,"3,659,000 ",Costa Rica
l_127386471,1 Bed,1 Bath,,"('430.56 Sqft', ' sqft')",Residential,"95,000 ",Costa Rica
l_159028668,,,,,Residential,"221,800 ",Costa Rica
l_157291819,5 Beds,5 Baths,0.283 ac Lot Size,"('5,381.96 Sqft', ' sqft')",Residential,"2,450,000  400",Costa Rica
l_160217765,2 Beds,1 Bath,,"('1,033 Sqft', ' sqft')",Residential,"325,000 ",Costa Rica
l_154738978,4 Beds,3 Baths,,"('5,812.51 Sqft', ' sqft')",Residential,"998,000 ",Costa Rica
l_156772816,5 Beds,4 Baths,0.082 ac Lot Size,"('2,152.78 Sqft', ' sqft')",Residential,"485,000 ",Costa Rica
l_158523428,3 Beds,2 Baths,0.812 ac Lot Size,"('1,765.28 Sqft', ' sqft')",Residential,"345,000 ",Costa Rica
l_153853457,,,35 ac Lot Size,,Residential,"2,500,000 ",Costa Rica
l_160447546,,,2.965 ac Lot Size,,Residential,"240,000 ",Costa Rica
l_152710165,,,0.082 ac Lot Size,,Residential,"349,000 ",Costa Rica
l_152710165,,,0.082 ac Lot Size,,Residential,"349,000 ",Costa Rica
l_155364863,4 Beds,3 Baths,,"('7,265.64 Sqft', ' sqft')",Residential,"1,800,000 ",Costa Rica
l_155926247,4 Beds,3 Baths,0.121 ac Lot Size,"('4,100 Sqft', ' sqft')",Residential,"829,000 ",Costa Rica
l_127218055,6 Beds,5 Baths,,"('5,500 Sqft', ' sqft')",Residential,"3,750,000 ",Costa Rica
l_130307853,7 Beds,5 Baths,0.773 ac Lot Size,"('8,611.13 Sqft', ' sqft')",Residential,"387,000 ",Costa Rica
l_157180498,6 Beds,4 Baths,,"('3,767 Sqft', ' sqft')",Residential,"550,000 ",Costa Rica
l_154972958,2 Beds,2 Baths,1.282 ac Lot Size,"('3,229.17 Sqft', ' sqft')",Residential,"1,320,000 ",Costa Rica
l_152773400,4 Beds,4 Baths,498 ac Lot Size,"('1,937.5 Sqft', ' sqft')",Residential,"525,000 ",Costa Rica
l_156109820,5 Beds,4 Baths,0.741 ac Lot Size,"('3,500 Sqft', ' sqft')",Residential,"788,000 ",Costa Rica
l_159467247,,,0.574 ac Lot Size,,Lots and Land,"299,990 ",Costa Rica
l_122992464,3 Beds,3 Baths,2.471 ac Lot Size,"('5,381.96 Sqft', ' sqft')",Residential,"1,100,000 ",Costa Rica
l_159856135,4 Beds,4 Baths,14.579 ac Lot Size,"('8,395.85 Sqft', ' sqft')",Residential,"1,995,000 ",Costa Rica
l_158302134,2 Beds,2 Baths,,"('1,280 Sqft', ' sqft')",Residential,"359,000 ",Costa Rica
l_159016369,,,1.994 ac Lot Size,,Lots and Land,"899,000 ",Costa Rica
l_152770466,,,1.236 ac Lot Size,,Lots and Land,"749,000 ",Costa Rica
l_156524961,6 Beds,3 Baths,1.738 ac Lot Size,"('3,659.73 Sqft', ' sqft')",Residential,"492,000 ",Costa Rica
l_156470257,2 Beds,2 Baths,0.021 ac Lot Size,"('936.46 Sqft', ' sqft')",Residential,"178,000 ",Costa Rica
l_160649900,3 Beds,3 Baths,,"('2,678 Sqft', ' sqft')",Condominium,"1,100,000 ",Costa Rica
l_154574758,4 Beds,4 Baths,0.159 ac Lot Size,"('5,747.93 Sqft', ' sqft')",Condominium,"840,000 ",Costa Rica
l_160148815,3 Beds,2 Baths,0.443 ac Lot Size,"('1,076.39 Sqft', ' sqft')",Residential,"228,000 ",Costa Rica
l_160433290,2 Beds,2 Baths,,"('678 Sqft', ' sqft')",Residential,"255,000 ",Costa Rica
l_139999269,3 Beds,3 Baths,,"('2,300 Sqft', ' sqft')",Residential,"589,000 ",Costa Rica
l_157721092,3 Beds,3 Baths,,"('2,100 Sqft', ' sqft')",Residential,"709,000 ",Costa Rica
l_159079873,2 Beds,2 Baths,,"('16,405 Sqft', ' sqft')",Residential,"450,000 ",Costa Rica
l_139999269,3 Beds,3 Baths,,"('2,300 Sqft', ' sqft')",Residential,"589,000 ",Costa Rica
l_157721092,3 Beds,3 Baths,,"('2,100 Sqft', ' sqft')",Residential,"709,000 ",Costa Rica
l_159079873,2 Beds,2 Baths,,"('16,405 Sqft', ' sqft')",Residential,"450,000 ",Costa Rica
l_157280794,3 Beds,3 Baths,,"('2,265 Sqft', ' sqft')",Condominium,"550,000  125",Costa Rica
l_159854390,3 Beds,3 Baths,,"('1,679.17 Sqft', ' sqft')",Residential,"889,000 ",Costa Rica
l_160617313,5 Beds,4 Baths,,"('6,000 Sqft', ' sqft')",Residential,"3,659,000 ",Costa Rica
l_158292839,3 Beds,2 Baths,0.118 ac Lot Size,"('1,240 Sqft', ' sqft')",Residential,"499,000 ",Costa Rica
l_154973475,2 Beds,1 Bath,0.04 ac Lot Size,"('1,506.95 Sqft', ' sqft')",Residential,"118,000 ",Costa Rica
l_147394427,3 Beds,3 Baths,,"('2,832 Sqft', ' sqft')",Condominium,"1,700,000  400",Costa Rica
l_138034308,9 Beds,8 Baths,1.78 ac Lot Size,,Residential,"2,600,000 ",Costa Rica
l_140435326,,,75.861 ac Lot Size,,Farm and Ranch,"695,000 ",Costa Rica
l_154738991,6 Beds,6 Baths,,"('4,036.47 Sqft', ' sqft')",Residential,"1,690,000  260",Costa Rica
l_144308044,,,12.602 ac Lot Size,,Farm and Ranch,"1,065,000 ",Costa Rica
l_139600754,5 Beds,3 Baths,3.8 ac Lot Size,"('3,600 Sqft', ' sqft')",Residential,"1,500,000 ",Costa Rica
l_160217761,2 Beds,1 Bath,,"('1,340 Sqft', ' sqft')",Residential,"269,000 ",Costa Rica
l_154881295,3 Beds,3 Baths,,"('4,843.76 Sqft', ' sqft')",Residential,"675,000 ",Costa Rica
l_157312227,3 Beds,3 Baths,0.191 ac Lot Size,"('4,144.11 Sqft', ' sqft')",Residential,"1,050,000  225",Costa Rica
l_160889729,,,0.861 ac Lot Size,,Residential,"1,300,000 ",Costa Rica
l_151586942,3 Beds,2 Baths,,"('1,635 Sqft', ' sqft')",Condominium,"379,000 ",Costa Rica
