Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_131842982,,,,,Condominium,"171,000 ",Dominican Republic
l_131710230,3 Beds,2 Baths,,"('1,011.81 Sqft', ' sqft')",Condominium,"173,000 ",Dominican Republic
l_159148299,2 Beds,3 Baths,,"('1,700 Sqft', ' sqft')",Residential,"425,000 ",Dominican Republic
l_126487207,1 Bed,1 Bath,,"('840 Sqft', ' sqft')",Residential,"130,000 ",Dominican Republic
l_159079762,3 Beds,2 Baths,0.138 ac Lot Size,"('1,485.42 Sqft', ' sqft')",Residential,"287,000 ",Dominican Republic
l_157538131,2 Beds,2 Baths,,"('1,235.2 Sqft', ' sqft')",Residential,"225,750 ",Dominican Republic
l_160307927,,,,,Multifamily,"195,650 ",Dominican Republic
l_144899520,,,0.264 ac Lot Size,,Lots And Land,"282,747 ",Dominican Republic
l_143887870,2 Beds,2 Baths,,"('1,313 Sqft', ' sqft')",Condominium,"320,000 ",Dominican Republic
l_154530956,3 Beds,2 Baths,0.042 ac Lot Size,"('1,377.78 Sqft', ' sqft')",Condominium,"410,000 ",Dominican Republic
l_153655401,2 Beds,2 Baths,,"('2,120 Sqft', ' sqft')",Condominium,"990,000 ",Dominican Republic
l_153127482,3 Beds,2 Baths,,"('1,409 Sqft', ' sqft')",Residential,"242,350 ",Dominican Republic
l_142479763,2 Beds,2 Baths,,"('1,416 Sqft', ' sqft')",Residential,"219,500 ",Dominican Republic
l_131294701,,,,,Residential,"171,000 ",Dominican Republic
l_131067179,3 Beds,2 Baths,,,Residential,"170,000 ",Dominican Republic
l_146461627,1 Bed,1 Bath,,"('1,786 Sqft', ' sqft')",Residential,"350,000 ",Dominican Republic
l_156840133,2 Beds,2 Baths,,"('1,722.23 Sqft', ' sqft')",Residential,"169,000 ",Dominican Republic
l_148260194,2 Beds,2 Baths,,"('4,445 Sqft', ' sqft')",Condominium,"498,000 ",Dominican Republic
l_159148289,1 Bed,1 Bath,,"('1,181.99 Sqft', ' sqft')",Condominium,"265,000 ",Dominican Republic
l_140448463,,,,,Residential,"200,000 ",Dominican Republic
l_137260584,1 Bed,1 Bath,,,Residential,"133,000 ",Dominican Republic
l_154416389,2 Beds,2 Baths,,"('822.17 Sqft', ' sqft')",Residential,"159,900 ",Dominican Republic
l_137978550,2 Beds,2 Baths,,,Residential,"239,990 ",Dominican Republic
l_158297209,1 Bed,1 Bath,602.77 ac Lot Size,"('602.77 Sqft', ' sqft')",Condominium,"114,990 ",Dominican Republic
