Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_154788845,3 Beds,3 Baths,,"('2,200 Sqft', ' sqft')",Residential,"699,000 ",Nicaragua
l_140043398,2 Beds,2 Baths,,,Residential,"195,000 ",Nicaragua
l_155148973,3 Beds,3 Baths,0.208 ac Lot Size,,Residential,"260,000 ",Nicaragua
l_155777354,5 Beds,5 Baths,0.484 ac Lot Size,,Residential,"1,199,000 ",Nicaragua
l_158294476,2 Beds,2 Baths,,"('4,843.76 Sqft', ' sqft')",Residential,"260,000 ",Nicaragua
l_157293053,8 Beds,9 Baths,,"('11,571.2 Sqft', ' sqft')",Residential,"680,000 ",Nicaragua
l_157294137,2 Beds,2 Baths,,"('7,287.17 Sqft', ' sqft')",Residential,"199,000 ",Nicaragua
l_159295909,3 Beds,3 Baths,0.432 ac Lot Size,,Residential,"200,000 ",Nicaragua
l_159295728,4 Beds,4 Baths,0.371 ac Lot Size,,Residential,"214,000 ",Nicaragua
l_158295979,4 Beds,5 Baths,,"('5,866.33 Sqft', ' sqft')",Residential,"405,000 ",Nicaragua
l_150703959,3 Beds,3 Baths,0.243 ac Lot Size,,Residential,"169,000  30",Nicaragua
l_158576126,3 Beds,3 Baths,,"('32,291.73 Sqft', ' sqft')",Residential,"449,000 ",Nicaragua
l_159295903,3 Beds,4 Baths,0.395 ac Lot Size,,Residential,"425,000 ",Nicaragua
l_159295693,4 Beds,4 Baths,0.42 ac Lot Size,,Residential,"580,000 ",Nicaragua
l_156267172,,,,"('267,397.06 Sqft', ' sqft')",Lots and Land,"99,000 ",Nicaragua
l_138137238,9 Beds,5 Baths,,"('3,000 Sqft', ' sqft')",Residential,"269,000 ",Nicaragua
l_158298941,2 Beds,2 Baths,,,Residential,"285,000 ",Nicaragua
l_159295910,4 Beds,,0.558 ac Lot Size,,Residential,"435,000 ",Nicaragua
l_159295732,3 Beds,,0.236 ac Lot Size,,Residential,"155,000 ",Nicaragua
l_157293908,3 Beds,3 Baths,,"('11,721.9 Sqft', ' sqft')",Residential,0.000000 ,Nicaragua
l_159326023,12 Beds,6 Baths,0.175 ac Lot Size,,Other,"347,600  50",Nicaragua
l_158972747,,,1.727 ac Lot Size,,Lots And Land,"120,000 ",Nicaragua
l_159326033,3 Beds,2 Baths,0.049 ac Lot Size,,Residential,"130,000 ",Nicaragua
l_159326031,,,0.436 ac Lot Size,,Lots And Land,"70,000  10",Nicaragua
l_151715082,2 Beds,1 Bath,0.193 ac Lot Size,,Residential,"97,000 ",Nicaragua
l_154743880,2 Beds,2 Baths,0.032 ac Lot Size,,Other,"230,000 ",Nicaragua
l_159295692,4 Beds,9 Baths,0.344 ac Lot Size,,Residential,"415,590 ",Nicaragua
l_158300638,3 Beds,3 Baths,,,Residential,"259,000 ",Nicaragua
l_158299253,,,,,Residential,"279,000 ",Nicaragua
l_160507144,4 Beds,4 Baths,0.492 ac Lot Size,,Residential,"595,000 ",Nicaragua
